omega,run time
0.1,0.26305127143859863
0.175,0.1514263153076172
0.25,0.10720062255859375
0.32499999999999996,0.08613252639770508
0.4,0.07182669639587402
0.475,0.06191420555114746
0.5499999999999999,0.05225396156311035
0.625,0.04764127731323242
0.7,0.042870283126831055
0.7749999999999999,0.0395505428314209
0.85,0.036588191986083984
0.9249999999999999,0.03546762466430664
0.9999999999999999,0.032526493072509766
1.075,0.02962040901184082
1.1500000000000001,0.02674555778503418
1.225,0.02650284767150879
1.3,0.025063276290893555
1.375,0.023575544357299805
1.45,0.021829843521118164
1.5250000000000001,0.020627975463867188
1.6,0.019487380981445312
1.675,0.02104926109313965
1.75,0.021384716033935547
1.825,0.024802207946777344
1.9,0.03219437599182129
